id,country,Country,city,institution,cond,nodropoff,rejection,response,responsetime
10001,1,"Argentina",256,1,0,0,0,0,
10002,1,"Argentina",256,1,0,0,0,0,
10003,1,"Argentina",256,1,0,0,0,100,2.8365111
10004,1,"Argentina",256,1,0,0,0,0,
10005,1,"Argentina",256,1,0,0,0,100,.23177111
10006,1,"Argentina",256,1,0,0,0,0,
10007,1,"Argentina",256,1,0,0,0,100,1.13288
10008,1,"Argentina",256,1,1,0,0,100,.19378
10009,1,"Argentina",256,1,1,0,0,100,6.9144268
10010,1,"Argentina",256,1,1,0,0,100,.39339554
10011,1,"Argentina",256,1,1,0,0,100,1.6994755
10012,1,"Argentina",256,1,1,0,0,0,
10013,1,"Argentina",256,1,1,0,0,100,.20512889
10014,1,"Argentina",256,1,1,0,0,100,.14199333
10015,1,"Argentina",256,1,1,0,0,100,.81842667
10016,1,"Argentina",256,2,0,0,0,0,
10017,1,"Argentina",256,2,0,0,0,100,.089342222
10018,1,"Argentina",256,2,0,0,0,0,
10019,1,"Argentina",256,2,0,0,0,100,.63474
10020,1,"Argentina",256,2,0,0,0,100,.15577111
10021,1,"Argentina",256,2,0,0,0,100,.18882667
10022,1,"Argentina",256,2,0,0,0,100,18.028482
10023,1,"Argentina",256,2,1,0,0,0,
10024,1,"Argentina",256,2,1,0,0,0,
10025,1,"Argentina",256,2,1,0,0,100,2.5811999
10026,1,"Argentina",256,2,1,0,0,100,.33513111
10027,1,"Argentina",256,2,1,0,0,100,3.009011
10028,1,"Argentina",256,2,1,0,0,0,
10029,1,"Argentina",256,2,1,0,0,0,
10030,1,"Argentina",256,3,0,0,0,100,.25324222
10031,1,"Argentina",256,3,0,0,0,0,
10032,1,"Argentina",256,3,0,0,0,0,
10033,1,"Argentina",256,3,0,0,0,0,
10034,1,"Argentina",256,3,0,0,0,100,.29735333
10035,1,"Argentina",256,3,0,0,0,100,1.5965778
10036,1,"Argentina",256,3,0,0,0,0,
10037,1,"Argentina",256,3,1,0,0,100,.12956667
10038,1,"Argentina",256,3,1,0,0,0,
10039,1,"Argentina",256,3,1,0,0,0,
10040,1,"Argentina",256,3,1,0,0,100,.10847111
10041,1,"Argentina",256,3,1,0,0,0,
10042,1,"Argentina",256,3,1,1,100,,
10042,1,"Argentina",256,3,1,0,0,0,
10043,1,"Argentina",256,3,1,0,0,100,.24448889
10044,1,"Argentina",256,3,1,0,0,100,2.0260355
10045,1,"Argentina",256,4,0,0,0,0,
10046,1,"Argentina",256,4,0,0,0,0,
10047,1,"Argentina",256,4,0,0,0,100,.18345112
10048,1,"Argentina",256,4,0,0,0,0,
10049,1,"Argentina",256,4,0,0,0,0,
10050,1,"Argentina",256,4,0,0,0,100,.1164
10051,1,"Argentina",256,4,0,0,0,100,.46400222
10052,1,"Argentina",256,4,0,0,0,0,
10053,1,"Argentina",256,4,0,0,0,100,3.8758066
10054,1,"Argentina",256,4,0,0,0,0,
10055,1,"Argentina",256,4,0,0,0,0,
10056,1,"Argentina",256,4,0,0,0,0,
10057,1,"Argentina",256,4,0,0,0,0,
10058,1,"Argentina",256,4,0,0,0,0,
10059,1,"Argentina",256,4,1,0,0,0,
10060,1,"Argentina",256,4,1,0,0,100,.21886444
10061,1,"Argentina",256,4,1,0,0,100,18.358953
10062,1,"Argentina",256,4,1,0,0,0,
10063,1,"Argentina",256,4,1,0,0,0,
10064,1,"Argentina",256,4,1,0,0,0,
10065,1,"Argentina",256,4,1,0,0,0,
10066,1,"Argentina",256,4,1,0,0,0,
10067,1,"Argentina",256,4,1,0,0,100,.059433334
10068,1,"Argentina",256,4,1,0,0,0,
10069,1,"Argentina",256,4,1,0,0,100,3.8624268
10070,1,"Argentina",256,4,1,0,0,100,.29237556
10071,1,"Argentina",256,4,1,0,0,0,
10072,1,"Argentina",256,4,1,0,0,0,
10073,1,"Argentina",256,5,0,0,0,100,.14340444
10074,1,"Argentina",256,5,0,0,0,0,
